product-name,product-image,product-price
"All-new Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Ad-Supported",https://m.media-amazon.com/images/I/61Gih4cc2CL._AC_SY355_.jpg,$139.99 
100Pcs Joe Biden I DID That! - Sticker Decal Humor - Joe Biden Funny Sticker That's All Me I Did That - Pointed to Your Left Funny Joe Biden Campaign Logo Parody Sticker 3 in,https://m.media-amazon.com/images/I/71+YuFNXzsL._AC_SY450_.jpg,$14.99 
"Philips Avent Anti-Colic Baby Bottle with AirFree Vent, 9oz, 1pk, Clear, SCY703/91",https://m.media-amazon.com/images/I/61I2C2vHorS._SY550_.jpg,$8.99 
"VELCRO Brand Extreme Outdoor Mounting Tape | 20Ft x 1 in, Holds 15 lbs | Strong Heavy Duty Stick on Adhesive | Mount on Brick, Concrete for Hanging, 30702",https://m.media-amazon.com/images/I/81btJiqS79L._SX342_.jpg,$19.99 
"Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls), Dolby Vision",https://m.media-amazon.com/images/I/61rQC6AM-6L._AC_SX425_.jpg,null
Madden NFL 22 - PlayStation 4,https://m.media-amazon.com/images/I/51pbZ+OFuCS._SX342_.jpg,null
"2022 Planner 8""x10"" Size: 14 Months (Begins November 2021/2022 Calendar/ 2022 Weekly Calendar/Weekly Planner Organizer (Black)",https://m.media-amazon.com/images/I/81P05RF7TgL._AC_SY355_.jpg,$18.95 
"Introducing Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",https://m.media-amazon.com/images/I/612AvoovbdL._AC_SX425_.jpg,$54.99 
Pokémon Brilliant Diamond - Nintendo Switch,https://m.media-amazon.com/images/I/81ErLLyfr5L._SY445_.jpg,$59.88 
100 Pcs Forever Postage Stamps Flags,https://m.media-amazon.com/images/I/514nXcOyynL._AC_SY355_.jpg,$40.00 
Interior Car Lights Keepsmile Car Accessories Car Led Lights APP Control with Remote Music Sync Color Change RGB Under Dash Car Lighting with Car Charger 12V 2A LED Lights for Car (RGB),https://m.media-amazon.com/images/I/716rOtQsgjS._AC_SY355_.jpg,null
"100Pcs I Did That Biden Stickers, That's All Me I Did That Biden Bumper Stickers, Funny Decal Sticker Humor (A, 100 PCS)",https://images-na.ssl-images-amazon.com/images/I/6185lQRXUKL.__AC_SX300_SY300_QL70_FMwebp_.jpg,$9.49 
"Introducing Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",https://m.media-amazon.com/images/I/51tR+nCYhIL._SY355_.jpg,$49.99 
"Apple Watch Series 7 GPS, 41mm Midnight Aluminum Case with Midnight Sport Band - Regular",https://m.media-amazon.com/images/I/71gg8mPlAuL._AC_SX466_.jpg,$399.00 
Pokémon Brilliant Diamond & Pokemon Shining Pearl Double Pack - Nintendo Switch,https://images-na.ssl-images-amazon.com/images/I/51DQi-YROQL._SY430_SX215_QL70_FMwebp_.jpg,$119.88 
Metroid Dread - Nintendo Switch,https://m.media-amazon.com/images/I/71E+KjuboFL._SY445_.jpg,null
JJHAEVDY Women's Bootcut Yoga Pants Crossover High Waisted Workout Leggings Stretch Non-See Through Tummy Control Flare Pants,https://m.media-amazon.com/images/I/51Qo1+3UlxL._AC_UX522_.jpg,$17.46 
"New: Nano Tape – Heavy Duty Double Sided Mounting Tape – 4 Pack – Strong Grip, Removable & Reusable – 40 Feet of Clear Gel Tape for Hanging on Wood, Tile, Plastic & Metal Surfaces by Lockport",https://m.media-amazon.com/images/I/71qovoFg2lL._SX342_.jpg,null
2022 Pocket Planner/Pocket Calendar: Includes 14 Months (November 2021 to December 2022) / 2022 Weekly Planner/Weekly Agenda/Monthly Calendar Organizer (Black/Brown - Pack of 1),https://m.media-amazon.com/images/I/61S2QD2A0vL._AC_SY355_.jpg,$9.95 
Roku Streaming Stick 4K 2021 | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,https://m.media-amazon.com/images/I/71wrIZujPIL._AC_SY355_.jpg,$39.99 
"Emerg?ncy_Keychain Car_Esc?pe Tool,2-in-1Seatbelt Cutter and Window Breaker",https://m.media-amazon.com/images/I/81e1ZNdF7eL._AC_SX425_.jpg,$24.99 
"Gel Pens, Medium Point (0.7mm), Pearl White Body, Black Gel Ink Pens, 4 Count",https://m.media-amazon.com/images/I/81KXQKOUuEL._AC_SX342_.jpg,$3.69 
LINKIOM Children's Padded Jacket Fashion Print Cartoon Long Collar Hooded Padded Fleece Warm Coat Winter Hoodie Outwear,https://m.media-amazon.com/images/I/71FWBt0mtUL._AC_UX522_.jpg,null
Mario Party Superstars - Nintendo Switch,https://m.media-amazon.com/images/I/81N4N3CyByL._SY445_.jpg,null
"PediaSure Grow & Gain with 2’-FL HMO Prebiotic, Kids nutrition shake, Vitamins C, E, B1, & B2, Non-GMO, Chocolate, 8 Fl Oz Bottle, 24 Count",https://m.media-amazon.com/images/I/71mEKacbxbL._AC_SX425_.jpg,$51.99 
Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 128 GB,https://m.media-amazon.com/images/I/615YaAiA-ML._SX342_.jpg,$299.00 
"ECBANLI Bracelet Car Window Breaker, Wrist Strap with Tungsten Carbide Bead Car Emergency Self Rescue Tool, Vehicle Rapid Escape Wristbands Tempered Safety Glass Breaker",https://m.media-amazon.com/images/I/51TtoF8NPrL._AC_SX425_.jpg,$17.99 
"100Pcs Biden I Did That Stickers, 3inch Joe Biden Funny Sticker, That's All Me I Did That Decal/Humor/Funny (A, Diamond Reflective Waterproof Sticker)",https://m.media-amazon.com/images/I/61q6nun7tFL._AC_SY679_.jpg,$9.97 
"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",https://m.media-amazon.com/images/I/71BS-QONS0L._AC_SY450_.jpg,null
"Security Camera 2K, blurams Baby Monitor Dog Camera 360-degree for Home Security w/ Smart Motion Tracking, Phone App, IR Night Vision, Siren, Works with Alexa & Google Assistant & IFTTT, 2-Way Audio",https://m.media-amazon.com/images/I/518pcsxf3CL._AC_SY355_.jpg,null
"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches, 1 Ream (500 Sheets)",https://m.media-amazon.com/images/I/71mwf6-21xL._AC_SY355_.jpg,$8.99 
Charmnight Womens High Waist Tights Fishnet Stockings Thigh High Pantyhose,https://m.media-amazon.com/images/I/61e5aE3kxZL._AC_UX385_.jpg,null
"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision, motion detection, two-way audio, Works with Alexa – 1 camera",https://m.media-amazon.com/images/I/61LrV6Id5gL._SY355_.jpg,$34.99 
Crocs Unisex-Adult Men's and Women's Classic Clog,null,$43.40 
"Wyze Cam Spotlight, Wyze Cam v3 Security Camera with Spotlight Kit, 1080p HD Security Camera with Two-Way Audio and Siren, IP65 Weatherproof, Compatible with Alexa and Google Assistant",https://m.media-amazon.com/images/I/61E8RWSXtoS._AC_SY450_.jpg,$48.11 
"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download",https://m.media-amazon.com/images/I/71PW7riMs9L._AC_SX385_.jpg,null
Rescue Monthly Whole Home Data and Image Recovery [Subscription],https://m.media-amazon.com/images/I/61W6+nHpa7L._AC_SY550_.jpg,null
$10 Xbox Gift Card [Digital Code],null,$10.00 
"Scotch Heavy Duty Packaging Tape, 1.88"" x 22.2 yd, Designed for Packing, Shipping and Mailing, Strong Seal on All Box Types, 1.5"" Core, Clear, 6 Rolls with Dispenser (142-6)",null,$13.99 
"McAfee Total Protection 2021, 3 Device, Antivirus Internet Security Software, VPN, Dark Web monitoring, 1 Year with Auto Renewal - Download Code",null,null
Roblox Gift Card - 800 Robux [Includes Exclusive Virtual Item] [Online Game Code],https://m.media-amazon.com/images/I/71SfFWK2AUL._SY445_.jpg,$10.00 
"Scotch Thermal Laminator and Pouch Bundle, 2 Roller System, Laminate up to 9"" Wide (TL901X) with Scotch Laminating Pouches, 100-Pack (TP3854-100)",null,null
Norton 360 for Amazon 2021 – Antivirus software for up to 3 Devices with Auto Renewal,null,null
$10 Nintendo eShop Gift Card [Digital Code],https://m.media-amazon.com/images/I/71g8qy0R8zL._SY445_.jpg,$10.00 
"Adobe Acrobat Professional DC | Create, edit and sign PDF documents | 1-month Subscription with auto-renewal, PC/Mac",https://m.media-amazon.com/images/I/414BXP8VbnL._AC_.jpg,null
"EZlifego Double Sided Tape Heavy Duty (9.85FT), Multipurpose Removable Mounting Tape Adhesive Grip,Reusable Strong Sticky Wall Tape Strips Transparent Tape Poster Carpet Tape for Paste Items,Household",null,$11.99 
"Original HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",null,$39.89 
$10 PlayStation Store Gift Card [Digital Code],null,$10.00 
Microsoft Office Home & Student 2021 | One-time purchase for 1 PC or Mac| Download,https://m.media-amazon.com/images/I/610LdTvXyFL._AC_SX385_.jpg,$124.99 
Roblox Gift Card - 2000 Robux [Includes Exclusive Virtual Item] [Online Game Code],https://m.media-amazon.com/images/I/71QMkXmLVCL._SY445_.jpg,$25.00 
"WYZE Cam Outdoor Starter Bundle (Includes Base Station and 1 Camera), 1080p HD Indoor/Outdoor Wire-Free Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & Google Assistant, white",https://m.media-amazon.com/images/I/41SyuiCk7JL._AC_SY355_.jpg,$58.87 
"Hammermill Printer Paper, 20 Lb Copy Paper, 11 x 17 - 1 Ream (500 Sheets) - 92 Bright, Made in the USA",https://m.media-amazon.com/images/I/815KcbzHbpS._AC_SY355_.jpg,$15.98 
Mario Party Superstars - Nintendo Switch,https://m.media-amazon.com/images/I/81N4N3CyByL._SY445_.jpg,null
"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",https://m.media-amazon.com/images/I/51JfGuZ80bL._SY355_.jpg,$99.99 
